layer,validation_category,validation_type,error_count,severity,project_stage,timestamp
U_TERRENO_CTM12,geometry,null_geometry,0,none,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,geometry,empty_geometry,0,none,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,geometry,invalid_geometry,8,critical,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,geometry,zero_area_polygon,0,none,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,geometry,null_geometry,0,none,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,geometry,empty_geometry,0,none,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,geometry,invalid_geometry,15,critical,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,geometry,zero_area_polygon,0,none,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,geometry,null_geometry,0,none,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,geometry,empty_geometry,0,none,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,geometry,invalid_geometry,39,critical,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,geometry,zero_area_polygon,0,none,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,geometry,null_geometry,0,none,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,geometry,empty_geometry,11,critical,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,geometry,invalid_geometry,2,critical,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,geometry,zero_area_polygon,0,none,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,duplicate,duplicate_codigo,48,critical,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,duplicate,duplicate_codigo,0,none,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,duplicate,duplicate_codigo,0,none,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,duplicate,duplicate_codigo,37,critical,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,overlap,intra_layer_overlap,164,critical,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,overlap,intra_layer_overlap,317,critical,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,overlap,intra_layer_overlap,1648,critical,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,overlap,intra_layer_overlap,40,moderate,initial,2026-03-06 21:35:19
unidad_fuera_construccion_pct,hierarchy,unidad_fuera_construccion_pct_low,20929,low,initial,2026-03-06 21:35:19
unidad_fuera_construccion_pct,hierarchy,unidad_fuera_construccion_pct_moderate,338,moderate,initial,2026-03-06 21:35:19
unidad_fuera_construccion_pct,hierarchy,unidad_fuera_construccion_pct_critical,79597,critical,initial,2026-03-06 21:35:19
construccion_fuera_terreno_pct,hierarchy,construccion_fuera_terreno_pct_low,10042,low,initial,2026-03-06 21:35:19
construccion_fuera_terreno_pct,hierarchy,construccion_fuera_terreno_pct_moderate,12359,moderate,initial,2026-03-06 21:35:19
construccion_fuera_terreno_pct,hierarchy,construccion_fuera_terreno_pct_critical,11876,critical,initial,2026-03-06 21:35:19
terreno_fuera_manzana_pct,hierarchy,terreno_fuera_manzana_pct_low,0,low,initial,2026-03-06 21:35:19
terreno_fuera_manzana_pct,hierarchy,terreno_fuera_manzana_pct_moderate,0,moderate,initial,2026-03-06 21:35:19
terreno_fuera_manzana_pct,hierarchy,terreno_fuera_manzana_pct_critical,48289,critical,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,attribute,null_mandatory_field,96578,critical,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,attribute,field_length_exceeded,0,none,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,attribute,invalid_domain_value,0,none,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,attribute,numeric_out_of_range,0,none,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,attribute,null_tipo_construccion,0,none,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,attribute,null_planta,0,none,initial,2026-03-06 21:35:19
U_TERRENO_CTM12,attribute,invalid_planta_format,0,none,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,attribute,null_mandatory_field,126688,critical,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,attribute,field_length_exceeded,0,none,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,attribute,invalid_domain_value,0,none,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,attribute,numeric_out_of_range,63344,moderate,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,attribute,null_tipo_construccion,63344,critical,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,attribute,null_planta,0,none,initial,2026-03-06 21:35:19
U_CONSTRUCCION_CTM12,attribute,invalid_planta_format,0,none,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,attribute,null_mandatory_field,318851,critical,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,attribute,field_length_exceeded,0,none,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,attribute,invalid_domain_value,0,none,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,attribute,numeric_out_of_range,0,none,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,attribute,null_tipo_construccion,159420,critical,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,attribute,null_planta,11,critical,initial,2026-03-06 21:35:19
U_UNIDAD_CTM12,attribute,invalid_planta_format,5,moderate,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,attribute,null_mandatory_field,2862,critical,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,attribute,field_length_exceeded,0,none,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,attribute,invalid_domain_value,0,none,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,attribute,numeric_out_of_range,0,none,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,attribute,null_tipo_construccion,0,none,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,attribute,null_planta,0,none,initial,2026-03-06 21:35:19
U_MANZANA_CTM12,attribute,invalid_planta_format,0,none,initial,2026-03-06 21:35:19
ref_construccion_sin_terreno,referential_integrity,ref_construccion_sin_terreno,7125,critical,initial,2026-03-06 21:35:19
ref_unidad_sin_construccion,referential_integrity,ref_unidad_sin_construccion,58589,critical,initial,2026-03-06 21:35:19
ref_unidad_sin_terreno,referential_integrity,ref_unidad_sin_terreno,63802,critical,initial,2026-03-06 21:35:19
ref_terreno_sin_manzana,referential_integrity,ref_terreno_sin_manzana,48289,critical,initial,2026-03-06 21:35:19
