layer,geometry_type,crs,feature_count,field_name,field_type
U_MANZANA_CTM12,MultiPolygon,3116,2861,CODIGO,str:17
U_MANZANA_CTM12,MultiPolygon,3116,2861,BARRIO_CODIGO,str:13
U_MANZANA_CTM12,MultiPolygon,3116,2861,CODIGO_ANTERIOR,str:255
U_MANZANA_CTM12,MultiPolygon,3116,2861,USUARIO_LOG,str:100
U_MANZANA_CTM12,MultiPolygon,3116,2861,FECHA_LOG,datetime
U_MANZANA_CTM12,MultiPolygon,3116,2861,GLOBALID,str
U_MANZANA_CTM12,MultiPolygon,3116,2861,GLOBALID_SNC,str:38
U_MANZANA_CTM12,MultiPolygon,3116,2861,CODIGO_MUNICIPIO,str:5
U_MANZANA_CTM12,MultiPolygon,3116,2861,SHAPE_Length,float
U_MANZANA_CTM12,MultiPolygon,3116,2861,SHAPE_Area,float
U_SECTOR_CTM12,MultiPolygon,3116,5,CODIGO,str:9
U_SECTOR_CTM12,MultiPolygon,3116,5,USUARIO_LOG,str:100
U_SECTOR_CTM12,MultiPolygon,3116,5,FECHA_LOG,datetime
U_SECTOR_CTM12,MultiPolygon,3116,5,GLOBALID,str
U_SECTOR_CTM12,MultiPolygon,3116,5,GLOBALID_SNC,str:38
U_SECTOR_CTM12,MultiPolygon,3116,5,CODIGO_MUNICIPIO,str:5
U_SECTOR_CTM12,MultiPolygon,3116,5,SHAPE_Length,float
U_SECTOR_CTM12,MultiPolygon,3116,5,SHAPE_Area,float
U_TERRENO_CTM12,MultiPolygon,3116,48289,CODIGO,str:30
U_TERRENO_CTM12,MultiPolygon,3116,48289,MANZANA_CODIGO,str:17
U_TERRENO_CTM12,MultiPolygon,3116,48289,CODIGO_ANTERIOR,str:20
U_TERRENO_CTM12,MultiPolygon,3116,48289,USUARIO_LOG,str:100
U_TERRENO_CTM12,MultiPolygon,3116,48289,FECHA_LOG,datetime
U_TERRENO_CTM12,MultiPolygon,3116,48289,GLOBALID,str
U_TERRENO_CTM12,MultiPolygon,3116,48289,GLOBALID_SNC,str:38
U_TERRENO_CTM12,MultiPolygon,3116,48289,CODIGO_MUNICIPIO,str:5
U_TERRENO_CTM12,MultiPolygon,3116,48289,SHAPE_Length,float
U_TERRENO_CTM12,MultiPolygon,3116,48289,SHAPE_Area,float
U_PERIMETRO_CTM12,MultiPolygon,3116,14,DEPARTAMENTO_CODIGO,str:2
U_PERIMETRO_CTM12,MultiPolygon,3116,14,MUNICIPIO_CODIGO,str:5
U_PERIMETRO_CTM12,MultiPolygon,3116,14,TIPO_AVALUO,str:30
U_PERIMETRO_CTM12,MultiPolygon,3116,14,NOMBRE_GEOGRAFICO,str:50
U_PERIMETRO_CTM12,MultiPolygon,3116,14,CODIGO_NOMBRE,str:255
U_PERIMETRO_CTM12,MultiPolygon,3116,14,USUARIO_LOG,str:100
U_PERIMETRO_CTM12,MultiPolygon,3116,14,FECHA_LOG,datetime
U_PERIMETRO_CTM12,MultiPolygon,3116,14,GLOBALID,str
U_PERIMETRO_CTM12,MultiPolygon,3116,14,GLOBALID_SNC,str:38
